Trains,Buses,AvgServiceTime,LongestServiceTime,CompletedJobs
8,44,41.58,259.84,11185
8,45,42.05,256.32,10519
8,46,41.20,260.95,11132
8,47,41.43,262.20,10234
8,48,41.24,251.46,10588
8,49,41.15,250.77,10698
8,50,42.05,248.15,10705
9,1,99.26,251.61,3313
9,2,71.30,251.92,5841
9,3,56.21,242.24,7394
9,4,60.18,241.60,7946
9,5,61.40,250.63,8113
9,6,62.42,251.35,8808
9,7,64.62,244.08,9058
9,8,63.52,246.24,9000
9,9,64.84,243.58,9479
9,10,61.27,242.78,9638
9,11,62.76,242.93,10090
9,12,61.83,243.46,10654
9,13,61.70,243.11,11026
9,14,59.74,245.76,11030
9,15,57.07,242.76,11289
9,16,56.43,246.49,11753
9,17,55.23,240.97,12195
9,18,53.40,243.73,11705
9,19,52.03,242.88,12178
9,20,50.64,246.04,12207
9,21,49.98,245.43,12437
9,22,47.98,245.75,12068
9,23,46.56,242.79,12192
9,24,46.38,242.72,11818
9,25,47.90,243.92,12403
9,26,46.13,243.10,11978
9,27,46.22,245.47,11860
9,28,45.61,245.42,11844
9,29,45.68,243.94,11607
9,30,45.60,245.10,12161
9,31,45.15,242.42,12227
9,32,44.98,242.36,12105
9,33,46.40,246.47,12158
9,34,46.73,241.47,12366
9,35,47.05,243.07,12432
9,36,45.10,242.41,12157
9,37,45.39,243.44,11829
9,38,45.90,243.56,12236
9,39,46.21,243.81,12239
9,40,45.06,242.06,12102
9,41,47.04,243.12,12536
9,42,45.94,242.54,11890
9,43,45.84,242.73,11786
9,44,49.19,245.67,12912
9,45,45.26,243.21,11882
9,46,47.08,241.70,12825
9,47,46.27,242.64,12629
9,48,46.49,246.82,12030
9,49,46.06,251.49,11927
9,50,46.75,243.43,12048
10,1,100.86,251.81,3309
10,2,71.89,245.89,5781
10,3,57.30,242.28,7431
10,4,59.53,243.47,7915
10,5,61.70,248.18,8118
10,6,62.43,240.75,8388
10,7,64.12,250.14,9181
10,8,66.37,244.71,9315
10,9,65.11,246.24,9554
10,10,66.27,246.95,10134
10,11,66.02,243.53,10819
10,12,65.04,247.14,11245
10,13,63.34,243.45,11487
10,14,59.92,246.93,11392
10,15,61.33,245.71,12402
10,16,58.26,246.69,12509
10,17,55.06,242.95,12278
10,18,54.92,246.78,13069
10,19,53.96,242.49,13433
10,20,51.40,243.57,13079
10,21,48.73,242.84,12854
10,22,47.01,242.85,12600
10,23,47.05,244.98,13529
10,24,46.05,243.11,13650
10,25,46.24,244.62,13700
10,26,45.66,251.84,13205
10,27,45.35,242.01,13172
10,28,45.65,242.57,13347
10,29,45.12,245.90,12772
10,30,45.58,242.50,13757
10,31,45.45,246.13,13224
10,32,45.29,245.73,13621
10,33,45.38,246.52,13094
10,34,45.47,246.18,12927
10,35,45.95,246.73,13618
10,36,45.36,251.75,13338
10,37,45.33,242.54,12872
10,38,45.31,246.80,13730
10,39,45.96,242.66,13185
10,40,46.01,243.79,12934
10,41,46.18,246.39,13400
10,42,45.38,243.35,12987
10,43,45.02,245.99,14262
10,44,45.41,243.22,12761
10,45,46.13,245.97,13211
10,46,45.49,242.58,13400
10,47,46.71,243.23,13186
10,48,45.79,241.75,12975
10,49,45.95,243.05,12867
10,50,46.78,242.81,12983
11,1,100.55,252.27,3291
11,2,72.90,246.92,5812
11,3,57.20,241.65,7351
11,4,59.23,245.85,7956
11,5,60.72,240.94,8259
11,6,62.75,243.73,8776
11,7,64.90,251.23,9143
11,8,63.61,247.66,9315
11,9,66.70,242.89,9606
11,10,67.03,242.86,10283
11,11,64.48,249.67,10570
11,12,66.03,243.81,11105
11,13,63.29,246.22,11586
11,14,61.71,246.69,12042
11,15,61.54,246.91,12640
11,16,59.05,242.58,13048
11,17,56.66,245.04,13147
11,18,54.27,245.07,13208
11,19,52.17,242.83,13520
11,20,50.49,246.25,14093
11,21,48.05,243.17,14016
11,22,46.03,244.38,13937
11,23,45.40,251.87,14081
11,24,45.30,245.49,14335
11,25,45.19,243.12,13930
11,26,44.04,241.41,14249
11,27,45.71,243.29,13983
11,28,44.18,252.31,14377
11,29,44.09,244.98,14574
11,30,44.25,242.81,13941
11,31,44.41,251.50,14053
11,32,44.89,246.37,14232
11,33,44.69,252.19,14752
11,34,44.61,242.64,14182
11,35,44.57,251.55,14770
11,36,44.36,251.67,14556
11,37,44.25,242.73,14753
11,38,44.45,242.08,14413
11,39,43.87,243.51,14512
11,40,43.79,242.38,14260
11,41,44.89,243.69,14190
11,42,43.90,242.61,14035
11,43,45.51,243.42,13782
11,44,43.84,241.80,14442
11,45,44.12,245.37,13939
11,46,43.86,243.05,14129
11,47,44.51,245.67,14442
11,48,44.22,251.29,14620
11,49,45.14,243.47,14788
11,50,43.50,242.97,14090
12,1,98.78,251.58,3293
12,2,74.03,251.58,5788
12,3,57.19,247.26,7451
12,4,59.83,240.27,7936
12,5,62.79,252.21,8072
12,6,62.67,250.00,8569
12,7,64.20,251.49,9226
12,8,66.05,243.53,9284
12,9,67.73,251.03,9688
12,10,65.78,242.88,10144
12,11,66.51,243.46,10734
12,12,64.72,243.31,11189
12,13,64.45,246.78,11748
12,14,62.92,246.03,12106
12,15,61.60,242.72,12564
12,16,59.03,242.97,13077
12,17,56.87,244.36,13446
12,18,55.06,243.73,14130
12,19,52.56,245.53,14292
12,20,51.47,245.64,14780
12,21,48.22,246.71,14853
12,22,45.10,243.29,15380
12,23,44.73,246.42,15198
12,24,43.57,243.70,15127
12,25,43.66,243.47,14865
12,26,42.90,243.13,14993
12,27,43.29,251.53,14936
12,28,43.23,244.70,15133
12,29,43.28,246.66,15207
12,30,43.86,243.16,15508
12,31,42.50,246.66,15221
12,32,43.23,242.83,15041
